event_id,positive_count,negative_count,neutral_count,positive_ratio,negative_ratio,neutral_ratio
EVT_000001,0,2,7,0.0,0.222,0.778
EVT_000002,3,0,2,0.6,0.0,0.4
EVT_000003,3,0,3,0.5,0.0,0.5
EVT_000004,9,0,0,1.0,0.0,0.0
EVT_000005,5,0,0,1.0,0.0,0.0
EVT_000006,6,0,0,1.0,0.0,0.0
EVT_000007,0,4,3,0.0,0.571,0.429
EVT_000008,2,0,3,0.4,0.0,0.6
EVT_000009,0,1,11,0.0,0.083,0.917
EVT_000010,0,7,0,0.0,1.0,0.0
EVT_000011,1,3,3,0.143,0.429,0.429
EVT_000012,13,0,0,1.0,0.0,0.0
EVT_000013,6,0,0,1.0,0.0,0.0
EVT_000014,0,5,0,0.0,1.0,0.0
EVT_000015,5,5,17,0.185,0.185,0.63
EVT_000016,3,2,0,0.6,0.4,0.0
EVT_000017,1,2,2,0.2,0.4,0.4
EVT_000018,0,11,0,0.0,1.0,0.0
EVT_000019,0,5,0,0.0,1.0,0.0
EVT_000020,7,0,0,1.0,0.0,0.0
EVT_000021,2,0,3,0.4,0.0,0.6
EVT_000022,1,4,1,0.167,0.667,0.167
EVT_000023,5,0,0,1.0,0.0,0.0
EVT_000024,3,0,7,0.3,0.0,0.7
EVT_000025,5,0,0,1.0,0.0,0.0
EVT_000026,1,12,1,0.071,0.857,0.071
EVT_000027,5,0,0,1.0,0.0,0.0
EVT_000028,7,0,0,1.0,0.0,0.0
EVT_000029,0,8,0,0.0,1.0,0.0
EVT_000030,14,5,6,0.56,0.2,0.24
EVT_000031,0,20,8,0.0,0.714,0.286
EVT_000032,8,0,0,1.0,0.0,0.0
EVT_000033,6,0,0,1.0,0.0,0.0
EVT_000034,0,5,1,0.0,0.833,0.167
EVT_000035,0,13,0,0.0,1.0,0.0
EVT_000036,0,10,0,0.0,1.0,0.0
EVT_000037,0,3,2,0.0,0.6,0.4
EVT_000038,1,6,0,0.143,0.857,0.0
EVT_000039,1,3,1,0.2,0.6,0.2
EVT_000040,2,3,8,0.154,0.231,0.615
EVT_000041,1,4,1,0.167,0.667,0.167
EVT_000042,10,4,0,0.714,0.286,0.0
EVT_000043,8,0,0,1.0,0.0,0.0
EVT_000044,7,0,0,1.0,0.0,0.0
EVT_000045,0,5,0,0.0,1.0,0.0
EVT_000046,0,5,0,0.0,1.0,0.0
EVT_000047,0,5,0,0.0,1.0,0.0
EVT_000048,5,8,0,0.385,0.615,0.0
EVT_000049,0,7,0,0.0,1.0,0.0
EVT_000050,9,0,0,1.0,0.0,0.0
EVT_000051,7,0,0,1.0,0.0,0.0
EVT_000052,0,12,0,0.0,1.0,0.0
EVT_000053,5,0,0,1.0,0.0,0.0
EVT_000054,0,17,0,0.0,1.0,0.0
EVT_000055,0,9,0,0.0,1.0,0.0
EVT_000056,1,18,0,0.053,0.947,0.0
EVT_000057,6,0,0,1.0,0.0,0.0
EVT_000058,8,81,7,0.083,0.844,0.073
EVT_000059,0,12,0,0.0,1.0,0.0
EVT_000060,0,2,3,0.0,0.4,0.6
EVT_000061,5,0,0,1.0,0.0,0.0
EVT_000062,4,1,0,0.8,0.2,0.0
EVT_000063,2,0,15,0.118,0.0,0.882
EVT_000064,0,0,6,0.0,0.0,1.0
EVT_000065,13,0,0,1.0,0.0,0.0
EVT_000066,0,12,1,0.0,0.923,0.077
EVT_000067,0,6,1,0.0,0.857,0.143
EVT_000068,9,0,0,1.0,0.0,0.0
EVT_000069,5,0,0,1.0,0.0,0.0
EVT_000070,1,5,2,0.125,0.625,0.25
EVT_000071,6,0,0,1.0,0.0,0.0
EVT_000072,3,32,6,0.073,0.78,0.146
EVT_000073,5,0,0,1.0,0.0,0.0
EVT_000074,11,2,1,0.786,0.143,0.071
EVT_000075,10,0,0,1.0,0.0,0.0
EVT_000076,6,0,1,0.857,0.0,0.143
EVT_000077,6,0,5,0.545,0.0,0.455
EVT_000078,47,0,0,1.0,0.0,0.0
EVT_000079,6,0,0,1.0,0.0,0.0
EVT_000080,0,0,16,0.0,0.0,1.0
EVT_000081,0,7,2,0.0,0.778,0.222
EVT_000082,2,3,2,0.286,0.429,0.286
EVT_000083,2,3,0,0.4,0.6,0.0
EVT_000084,5,2,0,0.714,0.286,0.0
EVT_000085,0,0,7,0.0,0.0,1.0
EVT_000086,19,0,0,1.0,0.0,0.0
EVT_000087,3,8,3,0.214,0.571,0.214
EVT_000088,0,0,6,0.0,0.0,1.0
EVT_000089,2,3,1,0.333,0.5,0.167
EVT_000090,1,5,0,0.167,0.833,0.0
EVT_000091,7,0,0,1.0,0.0,0.0
EVT_000092,6,0,0,1.0,0.0,0.0
EVT_000093,10,0,0,1.0,0.0,0.0
EVT_000094,7,0,0,1.0,0.0,0.0
EVT_000095,5,0,0,1.0,0.0,0.0
EVT_000096,0,47,2,0.0,0.959,0.041
EVT_000097,2,32,0,0.059,0.941,0.0
EVT_000098,0,11,0,0.0,1.0,0.0
EVT_000099,0,5,1,0.0,0.833,0.167
EVT_000100,0,3,3,0.0,0.5,0.5
EVT_000101,0,7,0,0.0,1.0,0.0
EVT_000102,10,0,2,0.833,0.0,0.167
EVT_000103,1,0,4,0.2,0.0,0.8
EVT_000104,9,0,1,0.9,0.0,0.1
EVT_000105,5,0,0,1.0,0.0,0.0
EVT_000106,0,2,7,0.0,0.222,0.778
EVT_000107,0,5,0,0.0,1.0,0.0
EVT_000108,0,7,0,0.0,1.0,0.0
EVT_000109,0,1,11,0.0,0.083,0.917
EVT_000110,0,0,5,0.0,0.0,1.0
EVT_000111,0,11,0,0.0,1.0,0.0
EVT_000112,0,9,3,0.0,0.75,0.25
EVT_000113,0,18,0,0.0,1.0,0.0
EVT_000114,0,12,0,0.0,1.0,0.0
EVT_NOISE,1692,844,554,0.548,0.273,0.179
